"TIME","y6","AD5"
2,4.06307,4
2.000771217,4.06307,4
2.00081619,4.06307,4
2.000965622,4.06308,4
2.001795197,4.06308,4
2.00181822,4.06308,4
2.001988455,4.06308,4
2.002819188,4.06308,4
2.002831234,4.06308,4
2.003011816,4.06308,4
2.00371403,4.06308,4
2.003849742,4.06308,4
2.004035497,4.06308,4
2.004387141,4.06308,4
2.004870996,4.06308,4
2.005059337,4.06308,4
2.005235696,4.06308,4
2.005893622,4.06309,4
2.006083257,4.06309,4
2.006171974,4.06309,4
2.006916457,4.06309,4
2.007107217,4.06309,4
2.007152113,4.06309,4
2.007939817,4.06309,4
2.008131197,4.06309,4
2.008154182,4.06309,4
2.008963497,4.06309,4
2.009155187,4.06309,4
2.009167217,4.06309,4
2.009987337,4.06309,4
2.010164012,4.0631,4
2.010185734,4.0631,4
2.011011257,4.0631,4
2.011100131,4.0631,4
2.011206993,4.0631,4
2.012035217,4.0631,4
2.01208019,4.0631,4
2.012229622,4.0631,4
2.013059197,4.0631,4
2.01308222,4.0631,4
2.013252455,4.0631,4
2.014083187,4.0631,4
2.014095234,4.0631,4
2.014275816,4.0631,4
2.01497803,4.06311,4
2.015113742,4.06311,4
2.015299497,4.06311,4
2.015651141,4.06311,4
2.016134996,4.06311,4
2.016323337,4.06311,4
2.016499696,4.06311,4
2.017157622,4.06311,4
2.017347257,4.06311,4
2.017435974,4.06311,4
2.018180457,4.06311,4
2.018371217,4.06311,4
2.018416113,4.06311,4
2.019203817,4.06311,4
2.019395197,4.06311,4
2.019418182,4.06311,4
2.020227497,4.06312,4
2.020419187,4.06312,4
2.020431217,4.06312,4
2.021251337,4.06312,4
2.021428012,4.06312,4
2.021449734,4.06312,4
2.022275257,4.06312,4
2.022364131,4.06312,4
2.022470993,4.06312,4
2.023299217,4.06312,4
2.02334419,4.06312,4
2.023493622,4.06312,4
2.024323197,4.06312,4
2.02434622,4.06312,4
2.024516455,4.06312,4
2.025347188,4.06313,4
2.025359234,4.06313,4
2.025539816,4.06313,4
2.02624203,4.06313,4
2.026377742,4.06313,4
2.026563497,4.06313,4
2.026915141,4.06313,4
2.027398996,4.06313,4
2.027587337,4.06313,4
2.027763696,4.06313,4
2.028421622,4.06313,4
2.028611257,4.06313,4
2.028699974,4.06313,4
2.029444457,4.06313,4
2.029635217,4.06313,4
2.029680113,4.06313,4
2.030467817,4.06313,4
2.030659197,4.06313,4
2.030682182,4.06313,4
2.031491497,4.06314,4
2.031683188,4.06314,4
2.031695217,4.06314,4
2.032515337,4.06314,4
2.032692012,4.06314,4
2.032713734,4.06314,4
2.033539257,4.06314,4
2.033628131,4.06314,4
2.033734993,4.06314,4
2.034563217,4.06314,4
2.03460819,4.06314,4
2.034757622,4.06314,4
2.035587197,4.06314,4
2.03561022,4.06314,4
2.035780455,4.06314,4
2.036611188,4.06315,4
2.036623234,4.06315,4
2.036803816,4.06315,4
2.03750603,4.06315,4
2.037641742,4.06315,4
2.037827497,4.06315,4
2.038179141,4.06315,4
2.038662996,4.06315,4
2.038851337,4.06315,4
2.039027696,4.06315,4
2.039685622,4.06315,4
2.039875257,4.06315,4
2.039963974,4.06315,4
2.040708457,4.06315,4
2.040899217,4.06315,4
2.040944113,4.06315,4
2.041731817,4.06315,4
2.041923197,4.06315,4
2.041946182,4.06315,4
2.042755497,4.06316,4
2.042947187,4.06316,4
2.042959217,4.06316,4
2.043779337,4.06316,4
2.043956012,4.06316,4
2.043977734,4.06316,4
2.044803257,4.06316,4
2.044892131,4.06316,4
2.044998993,4.06316,4
2.045827217,4.06316,4
2.04587219,4.06316,4
2.046021622,4.06316,4
2.046851197,4.06316,4
2.04687422,4.06316,4
2.047044455,4.06316,4
2.047875187,4.06316,4
2.047887234,4.06316,4
2.048067816,4.06316,4
2.04877003,4.06317,4
2.048905742,4.06317,4
2.049091497,4.06317,4
2.049443141,4.06317,4
2.049926996,4.06317,4
2.050115337,4.06317,4
2.050291696,4.06317,4
2.050949622,4.06317,4
2.051139257,4.06317,4
2.051227974,4.06317,4
2.051972457,4.06317,4
2.052163217,4.06317,4
2.052208113,4.06317,4
2.052995817,4.06317,4
2.053187197,4.06317,4
2.053210182,4.06317,4
2.054019497,4.06317,4
2.054211188,4.06317,4
2.054223217,4.06317,4
2.055043337,4.06317,4
2.055220012,4.06318,4
2.055241734,4.06318,4
2.056067257,4.06318,4
2.056156131,4.06318,4
2.056262993,4.06318,4
2.057091217,4.06318,4
2.05713619,4.06318,4
2.057285622,4.06318,4
2.058115197,4.06318,4
2.05813822,4.06318,4
2.058308455,4.06318,4
2.059139188,4.06318,4
2.059151234,4.06318,4
2.059331816,4.06318,4
2.06003403,4.06318,4
2.060169742,4.06318,4
2.060355497,4.06318,4
2.060707141,4.06318,4
2.061190996,4.06318,4
2.061379337,4.06318,4
2.061555696,4.06318,4
2.062213622,4.06319,4
2.062403257,4.06319,4
2.062491974,4.06319,4
2.063236457,4.06319,4
2.063427217,4.06319,4
2.063472113,4.06319,4
2.064259817,4.06319,4
2.064451197,4.06319,4
2.064474182,4.06319,4
2.065283497,4.06319,4
2.065475188,4.06319,4
2.065487217,4.06319,4
2.066307337,4.06319,4
2.066484012,4.06319,4
2.066505734,4.06319,4
2.067331257,4.06319,4
2.067420131,4.06319,4
2.067526993,4.06319,4
2.068355217,4.06319,4
2.06840019,4.06319,4
2.068549622,4.06319,4
2.069379197,4.0632,4
2.06940222,4.0632,4
2.069572455,4.0632,4
2.070403187,4.0632,4
2.070415234,4.0632,4
2.070595816,4.0632,4
2.07129803,4.0632,4
2.071433742,4.0632,4
2.071619497,4.0632,4
2.071971141,4.0632,4
2.072454996,4.0632,4
2.072643337,4.0632,4
2.072819696,4.0632,4
2.073477622,4.0632,4
2.073667257,4.0632,4
2.073755974,4.0632,4
2.074500457,4.0632,4
2.074691217,4.0632,4
2.074736113,4.0632,4
2.075523817,4.0632,4
2.075715197,4.0632,4
2.075738182,4.0632,4
2.076547497,4.0632,4
2.076739187,4.0632,4
2.076751217,4.0632,4
2.077571337,4.06321,4
2.077748012,4.06321,4
2.077769734,4.06321,4
2.078595257,4.06321,4
2.078684131,4.06321,4
2.078790993,4.06321,4
2.079619217,4.06321,4
2.07966419,4.06321,4
2.079813622,4.06321,4
2.080643197,4.06321,4
2.08066622,4.06321,4
2.080836455,4.06321,4
2.081667187,4.06321,4
2.081679234,4.06321,4
2.081859816,4.06321,4
2.08256203,4.06321,4
2.082697742,4.06321,4
2.082883497,4.06321,4
2.083235141,4.06321,4
2.083718996,4.06321,4
2.083907337,4.06321,4
2.084083696,4.06321,4
2.084741622,4.06321,4
2.084931257,4.06321,4
2.085019974,4.06321,4
2.085764457,4.06322,4
2.085955217,4.06322,4
2.086000113,4.06322,4
2.086787817,4.06322,4
2.086979197,4.06322,4
2.087002182,4.06322,4
2.087811497,4.06322,4
2.088003188,4.06322,4
2.088015217,4.06322,4
2.088835337,4.06322,4
2.089012012,4.06322,4
2.089033734,4.06322,4
2.089859257,4.06322,4
2.089948131,4.06322,4
2.090054993,4.06322,4
2.090883217,4.06322,4
2.09092819,4.06322,4
2.091077622,4.06322,4
2.091907197,4.06322,4
2.09193022,4.06322,4
2.092100455,4.06322,4
2.092931188,4.06322,4
2.092943234,4.06322,4
2.093123816,4.06322,4
2.09382603,4.06322,4
2.093961742,4.06323,4
2.094147497,4.06323,4
2.094499141,4.06323,4
2.094982996,4.06323,4
2.095171337,4.06323,4
2.095347696,4.06323,4
2.096005622,4.06323,4
2.096195257,4.06323,4
2.096283974,4.06323,4
2.097028457,4.06323,4
2.097219217,4.06323,4
2.097264113,4.06323,4
2.098051817,4.06323,4
2.098243197,4.06323,4
2.098266182,4.06323,4
2.099075497,4.06323,4
2.099267187,4.06323,4
2.099279217,4.06323,4
2.100099337,4.06323,4
2.100276012,4.06323,4
2.100297734,4.06323,4
2.101123257,4.06323,4
2.101212131,4.06323,4
2.101318993,4.06323,4
2.102147217,4.06323,4
2.10219219,4.06323,4
2.102341622,4.06323,4
2.103171197,4.06323,4
2.10319422,4.06323,4
2.103364455,4.06324,4
2.104195187,4.06324,4
2.104207234,4.06324,4
2.104387816,4.06324,4
2.10509003,4.06324,4
2.105225742,4.06324,4
2.105411497,4.06324,4
2.105763141,4.06324,4
2.106246996,4.06324,4
2.106435337,4.06324,4
2.106611696,4.06324,4
2.107269622,4.06324,4
2.107459257,4.06324,4
2.107547974,4.06324,4
2.108292457,4.06324,4
2.108483217,4.06324,4
2.108528113,4.06324,4
2.109315817,4.06324,4
2.109507197,4.06324,4
2.109530182,4.06324,4
2.110339497,4.06324,4
2.110531187,4.06324,4
2.110543217,4.06324,4
2.111363337,4.06324,4
2.111540012,4.06324,4
2.111561734,4.06324,4
2.112387257,4.06324,4
2.112476131,4.06324,4
2.112582993,4.06324,4
2.113411217,4.06325,4
2.11345619,4.06325,4
2.113605622,4.06325,4
2.114435197,4.06325,4
2.11445822,4.06325,4
2.114628455,4.06325,4
2.115459187,4.06325,4
2.115471234,4.06325,4
2.115651816,4.06325,4
2.11635403,4.06325,4
2.116489742,4.06325,4
2.116675497,4.06325,4
2.117027141,4.06325,4
2.117510996,4.06325,4
2.117699337,4.06325,4
2.117875696,4.06325,4
2.118533622,4.06325,4
2.118723257,4.06325,4
2.118811974,4.06325,4
2.119556457,4.06325,4
2.119747217,4.06325,4
2.119792113,4.06325,4
2.120579817,4.06325,4
2.120771197,4.06325,4
2.120794182,4.06325,4
2.121603497,4.06325,4
2.121795188,4.06325,4
2.121807217,4.06325,4
2.122627337,4.06325,4
2.122804012,4.06325,4
2.122825734,4.06325,4
2.123651257,4.06325,4
2.123740131,4.06325,4
2.123846993,4.06325,4
2.124675217,4.06326,4
2.12472019,4.06326,4
2.124869622,4.06326,4
2.125699197,4.06326,4
2.12572222,4.06326,4
2.125892455,4.06326,4
2.126723188,4.06326,4
2.126735234,4.06326,4
2.126915816,4.06326,4
2.12761803,4.06326,4
2.127753742,4.06326,4
2.127939497,4.06326,4
2.128291141,4.06326,4
2.128774996,4.06326,4
2.128963337,4.06326,4
2.129139696,4.06326,4
2.129797622,4.06326,4
2.129987257,4.06326,4
2.130075974,4.06326,4
2.130820457,4.06326,4
2.131011217,4.06326,4
2.131056113,4.06326,4
2.131843817,4.06326,4
2.132035197,4.06326,4
2.132058182,4.06326,4
2.132867497,4.06326,4
2.133059187,4.06326,4
2.133071217,4.06326,4
2.133891337,4.06326,4
2.134068012,4.06326,4
2.134089734,4.06326,4
2.134915257,4.06326,4
2.135004131,4.06326,4
2.135110993,4.06326,4
2.135939217,4.06326,4
2.13598419,4.06326,4
2.136133622,4.06327,4
2.136963197,4.06327,4
2.13698622,4.06327,4
2.137156455,4.06327,4
2.137987187,4.06327,4
2.137999234,4.06327,4
2.138179816,4.06327,4
2.13888203,4.06327,4
2.139017742,4.06327,4
2.139203497,4.06327,4
2.139555141,4.06327,4
2.140038996,4.06327,4
2.140227337,4.06327,4
2.140403696,4.06327,4
2.141061622,4.06327,4
2.141251257,4.06327,4
2.141339974,4.06327,4
2.142084457,4.06327,4
2.142275217,4.06327,4
2.142320113,4.06327,4
2.143107817,4.06327,4
2.143299197,4.06327,4
2.143322182,4.06327,4
2.144131497,4.06327,4
2.144323187,4.06327,4
2.144335217,4.06327,4
2.145155337,4.06327,4
2.145332012,4.06327,4
2.145353734,4.06327,4
2.146179257,4.06327,4
2.146268131,4.06327,4
2.146374993,4.06327,4
2.147203217,4.06327,4
2.14724819,4.06327,4
2.147397622,4.06327,4
2.148227197,4.06327,4
2.14825022,4.06327,4
2.148420455,4.06327,4
2.149251188,4.06328,4
2.149263234,4.06328,4
2.149443816,4.06328,4
2.15014603,4.06328,4
2.150281742,4.06328,4
2.150467497,4.06328,4
2.150819141,4.06328,4
2.151302996,4.06328,4
2.151491337,4.06328,4
2.151667696,4.06328,4
2.152325622,4.06328,4
2.152515257,4.06328,4
2.152603974,4.06328,4
2.153348457,4.06328,4
2.153539217,4.06328,4
2.153584113,4.06328,4
2.154371817,4.06328,4
2.154563197,4.06328,4
2.154586182,4.06328,4
2.155395497,4.06328,4
2.155587188,4.06328,4
2.155599217,4.06328,4
2.156419337,4.06328,4
2.156596012,4.06328,4
2.156617734,4.06328,4
2.157443257,4.06328,4
2.157532131,4.06328,4
2.157638993,4.06328,4
2.158467217,4.06328,4
2.15851219,4.06328,4
2.158661622,4.06328,4
2.159491197,4.06328,4
2.15951422,4.06328,4
2.159684455,4.06328,4
2.160515188,4.06328,4
2.160527234,4.06328,4
2.160707816,4.06328,4
2.16141003,4.06328,4
2.161545742,4.06328,4
2.161731497,4.06328,4
2.162083141,4.06328,4
2.162566996,4.06328,4
2.162755337,4.06328,4
2.162931696,4.06328,4
2.163589622,4.06329,4
2.163779257,4.06329,4
2.163867974,4.06329,4
2.164612457,4.06329,4
2.164803217,4.06329,4
2.164848113,4.06329,4
2.165635817,4.06329,4
2.165827197,4.06329,4
2.165850182,4.06329,4
2.166659497,4.06329,4
2.166851187,4.06329,4
2.166863217,4.06329,4
2.167683337,4.06329,4
2.167860012,4.06329,4
2.167881734,4.06329,4
2.168707257,4.06329,4
2.168796131,4.06329,4
2.168902993,4.06329,4
2.169731217,4.06329,4
2.16977619,4.06329,4
2.169925622,4.06329,4
2.170755197,4.06329,4
2.17077822,4.06329,4
2.170948455,4.06329,4
2.171779187,4.06329,4
2.171791234,4.06329,4
2.171971816,4.06329,4
2.17267403,4.06329,4
2.172809742,4.06329,4
2.172995497,4.06329,4
2.173347141,4.06329,4
2.173830996,4.06329,4
2.174019337,4.06329,4
2.174195696,4.06329,4
2.174853622,4.06329,4
2.175043257,4.06329,4
2.175131974,4.06329,4
2.175876457,4.06329,4
